,GSM3690885_NS_NG18_htseq,GSM3690888_NS_NG21_htseq,GSM3690886_NS_NG19_htseq,GSM3690887_NS_NG20_htseq
Krtap1-3,0,0,0,0
Krtap1-4,0,0,0,0
Krtap1-5,0,0,0,0
Krtap10-10,0,0,0,0
Krtap10-4,0,0,0,0
Krtap11-1,0,0,0,0
Krtap12-1,0,0,0,0
Krtap13,0,0,0,0
Krtap13-1,0,0,0,0
Krtap14,0,0,0,0
Krtap15,0,0,0,0
Krtap16-1,0,0,0,0
Krtap16-3,0,0,0,0
Krtap17-1,0,0,0,0
Krtap19-1,0,0,0,0
Krtap19-3,0,0,0,0
Krtap19-4,0,0,0,0
Krtap19-5,0,0,0,0
Krtap19-9b,0,0,0,0
Krtap2-4,0,0,0,0
Krtap20-2,0,0,0,0
Krtap21-1,0,0,0,0
Krtap22-2,0,0,0,0
Krtap24-1,0,0,0,0
Krtap26-1,0,0,0,0
Krtap27-1,0,0,0,0
Krtap3-1,0,0,0,0
Krtap3-2,0,0,0,0
Krtap3-3,0,0,0,0
Krtap31-1,0,0,0,0
Krtap31-2,0,0,0,0
Krtap4-1,0,0,0,0
Krtap4-13,0,0,0,0
Krtap4-16,0,0,0,0
Krtap4-2,0,0,0,0
Krtap4-6,0,0,0,0
Krtap4-7,0,0,0,0
Krtap4-8,0,0,0,0
Krtap4-9,0,0,0,0
Krtap5-1,0,0,0,0
Krtap5-2,0,0,0,0
Krtap5-3,0,0,0,0
Krtap5-4,0,0,0,0
Krtap5-5,0,0,0,0
Krtap6-1,0,0,0,0
Krtap6-2,0,0,0,0
Krtap6-5,0,0,0,0
Krtap7-1,0,0,0,0
Krtap8-1,0,0,0,0
Krtap9-1,0,0,0,0
Krtap9-3,0,0,0,0
Krtap9-5,0,0,0,0
Krtcap2,525,258,211,261
Krtcap3,0,0,0,0
Krtdap,0,0,0,0
Ksr1,0,91,14,117
Ksr2,0,0,2,0
Kti12,0,251,256,1
Ktn1,138,1215,388,282
Kxd1,0,213,132,96
Ky,0,0,0,0
Kynu,6,3,5,0
L1cam,20,1,5,0
L1td1,0,0,0,0
L2hgdh,0,164,0,277
L3hypdh,0,0,0,378
L3mbtl1,0,0,0,0
L3mbtl2,0,142,0,0
L3mbtl3,1,0,133,0
L3mbtl4,12,2,0,0
LOC100038947,0,0,0,0
LOC100040786,0,0,0,0
LOC100043315,0,0,0,0
LOC100048884,0,0,0,0
LOC100502924,0,0,0,0
LOC100503280,0,0,0,0
LOC100503496,0,8,0,0
LOC100504608,0,0,0,0
LOC100504703,0,0,0,0
LOC100861615,0,1,0,0
LOC100861978,0,0,0,0
LOC106740,0,86,97,81
LOC171588,0,0,0,0
LOC666331,0,0,0,0
Lacc1,0,0,0,0
Lace1,0,0,0,476
Lactb,0,281,0,38
Lactb2,431,128,4,0
Lactbl1,0,0,0,0
Lad1,0,169,0,0
Lag3,28,0,16,19
Lage3,0,129,0,247
Lair1,0,140,324,0
Lalba,0,0,0,0
Lama1,0,0,0,0
Lama2,0,0,1,541
Lama3,0,0,0,0
Lama4,0,0,2,0
Lama5,0,0,0,182
Lamb1,0,56,161,20
Lamb2,0,27,0,0
Lamb3,0,0,0,0
Lamc1,0,0,0,241
Lamc2,0,0,0,0
Lamc3,0,0,6,0
Lamp1,44,1160,1957,1846
Lamp2,248,656,205,457
Lamp3,0,0,0,0
Lamp5,0,669,0,0
Lamtor1,49,747,676,1187
Lamtor2,1162,447,84,2455
Lamtor3,1300,55,1,1148
Lamtor4,1465,140,340,146
Lamtor5,1824,862,29,4199
Lancl1,3579,2639,718,2085
Lancl2,0,602,6,45
Lancl3,0,0,48,0
Lao1,0,0,0,0
Lap3,38,262,0,1
Laptm4a,0,381,262,683
Laptm4b,1250,132,888,1193
Laptm5,0,177,0,0
Large,36,348,1576,0
Larp1,25,6,224,901
Larp1b,0,0,24,1
Larp4,1240,443,86,737
Larp4b,13,482,418,1216
Larp6,0,0,669,9
Larp7,9,529,10,4
Lars,0,0,0,15
Lars2,452209,125001,985052,171827
Las1l,4,377,3,0
Lasp1,754,77,27,26
Lat,0,0,0,0
Lat2,0,273,0,0
Lats1,10,1,14,497
Lats2,0,0,42,0
Lax1,0,0,0,0
Layn,0,0,0,0
Lbh,36,0,17,0
Lbp,0,236,0,0
Lbr,0,27,110,2
Lbx1,0,0,0,0
Lbx2,0,0,0,0
Lca5,0,194,12,0
Lca5l,0,0,0,0
Lcat,0,1,0,532
Lce1a1,0,0,0,0
Lce1a2,0,0,0,0
Lce1b,0,0,0,0
Lce1c,0,0,0,0
Lce1d,0,0,0,0
Lce1e,0,0,0,0
Lce1f,0,0,0,0
Lce1g,0,0,0,0
Lce1h,0,0,0,0
Lce1i,0,0,0,0
Lce1k,0,0,0,0
Lce1l,0,0,0,0
Lce1m,0,0,0,0
Lce3a,0,0,0,0
Lce3b,0,0,0,0
Lce3c,0,0,0,0
Lce3d,0,0,0,0
Lce3e,0,0,0,0
Lce3f,0,0,0,0
Lce6a,0,0,0,0
Lck,0,0,0,0
Lclat1,0,182,0,412
Lcmt1,0,899,189,1065
Lcmt2,500,601,360,519
Lcn10,0,0,0,0
Lcn11,0,0,0,0
Lcn12,0,0,0,0
Lcn2,0,0,0,0
Lcn3,0,0,0,0
Lcn4,0,0,0,0
Lcn5,0,0,0,0
Lcn6,0,0,0,0
Lcn8,0,0,0,0
Lcn9,0,0,0,0
Lcor,0,0,0,0
Lcorl,0,503,584,897
Lcp1,0,0,0,0
Lcp2,0,0,0,0
Lct,2156,851,1577,936
Lctl,0,0,0,0
Ldb1,1,170,31,89
Ldb2,0,18,5,0
Ldb3,0,70,0,0
Ldha,3699,2727,1175,3225
Ldhal6b,0,0,0,0
Ldhb,2105,4082,338,5152
Ldhc,0,0,0,0
Ldhd,0,0,0,0
Ldlr,0,0,1,0
Ldlrad1,0,0,0,0
Ldlrad2,23,23,19,4
Ldlrad3,0,0,0,0
Ldlrad4,0,216,0,0
Ldlrap1,0,0,2,0
Ldoc1,0,0,0,100
Ldoc1l,680,207,383,1251
Leap2,0,0,0,0
Lect1,0,0,0,0
Lect2,0,0,0,0
Lef1,1,14,18,0
Lefty1,0,0,0,0
Lefty2,0,0,0,0
Lekr1,0,121,0,0
Lelp1,0,0,0,0
Lemd1,0,0,0,0
Lemd2,0,0,116,0
Lemd3,0,101,592,1
Lenep,0,84,0,0
Leng1,0,242,53,0
Leng8,0,1047,13,23
Leng9,1122,0,22,0
Leo1,0,254,28,0
Lep,0,0,0,0
Lepr,59,62,19,87
Lepre1,0,490,0,12
Leprel1,0,0,0,0
Leprel2,61,23,12,10
Leprel4,2,0,0,0
Leprot,0,541,0,1556
Leprotl1,322,1441,37,92
Letm1,0,592,39,151
Letm2,949,66,0,0
Letmd1,1644,1197,0,0
Lfng,0,0,11,6
Lgals1,0,0,0,0
Lgals12,2,2,2,0
Lgals2,0,0,0,0
Lgals3,0,0,0,0
Lgals3bp,0,277,0,467
Lgals4,0,0,0,0
Lgals6,0,0,0,0
Lgals7,0,0,0,0
Lgals8,66,888,0,0
Lgals9,0,0,0,0
Lgalsl,819,1,115,443
Lgi1,940,2995,536,1306
Lgi2,11,0,1,0
Lgi3,31,309,206,137
Lgi4,0,0,0,6
Lgmn,230,1063,34,286
Lgr4,0,642,78,420
Lgr5,12,3,10,4
Lgr6,0,0,0,0
Lgsn,0,0,0,0
Lhb,0,0,0,0
Lhcgr,0,0,0,0
Lhfp,247,0,116,743
Lhfpl1,0,0,0,0
Lhfpl2,50,271,34,874
Lhfpl3,90,0,366,3
Lhfpl4,114,423,185,26
Lhfpl5,0,0,0,0
Lhpp,0,0,10,1083
Lhx1,0,0,0,0
Lhx2,42,24,69,1180
Lhx3,0,0,0,0
Lhx4,0,0,0,0
Lhx5,2,2,28,0
Lhx6,3,1,2,2
Lhx8,0,0,0,0
Lhx9,4,1,75,88
Lias,0,247,77,1179
Lif,0,0,0,0
Lifr,68,362,353,164
Lig1,0,432,80,0
Lig3,0,0,105,12
Lig4,0,0,9,326
Lilra5,0,0,0,0
Lilra6,0,0,0,0
Lilrb3,0,0,0,0
Lilrb4,0,0,0,0
Lim2,0,0,0,0
Lima1,0,0,21,0
Limch1,144,603,2227,103
Limd1,0,0,2,0
Limd2,2466,2659,482,2839
Lime1,0,174,0,0
Limk1,51,0,28,0
Limk2,1850,506,19,480
Lims1,0,249,640,35
Lims2,0,0,0,0
Lin28a,0,0,0,0
Lin28b,0,0,0,0
Lin37,145,508,93,1
Lin52,14,1055,0,494
Lin54,1,43,51,0
Lin7a,20,835,121,203
Lin7b,0,1050,13,256
Lin7c,3646,2315,1016,1005
Lin9,0,22,0,7
Lingo1,15,333,64,299
Lingo2,6,1359,287,450
Lingo3,0,0,0,109
Lingo4,0,0,10,0
Lins,0,381,145,0
Lipa,14,42,0,161
Lipc,0,0,0,0
Lipe,0,0,0,0
Lipf,0,0,0,0
Lipg,0,0,0,0
Liph,0,0,6,0
Lipi,30,22,35,6
Lipk,0,0,0,0
Lipm,0,0,0,0
Lipn,0,0,0,0
Lipo1,0,22,0,0
Lipt1,0,0,0,0
Lipt2,0,0,0,127
Litaf,34,346,0,0
Lix1,59,952,83,1465
Lix1l,0,55,0,16
Llgl1,0,217,10,0
Llgl2,0,0,0,0
Llph,29,800,197,899
Lman1,2,309,4,629
Lman1l,0,0,0,0
Lman2,0,954,74,3
Lman2l,0,354,2,268
Lmbr1,0,156,1,0
Lmbr1l,0,0,0,0
Lmbrd1,1181,1036,329,81
Lmbrd2,0,19,0,8
Lmcd1,2,0,0,70
Lmf1,1532,299,1,0
Lmf2,0,0,0,0
Lmln,0,14,0,0
Lmna,0,172,11,550
Lmnb1,0,277,0,0
Lmnb2,0,369,0,73
Lmo1,766,375,422,487
Lmo2,615,0,275,501
Lmo3,16,654,173,1806
Lmo4,1354,821,2627,3141
Lmo7,1332,322,403,36
Lmod1,0,2,0,0
Lmod2,0,0,0,0
Lmod3,0,0,0,0
Lmtk2,2,375,83,2
Lmtk3,3,15,17,0
Lmx1a,4,2,2,1
Lmx1b,0,0,0,0
Lnp,233,252,422,2
Lnpep,527,0,55,169
Lnx1,0,57,6,0
Lnx2,0,1,11,0
Loh12cr1,0,466,237,280
Lonp1,3,467,0,743
Lonp2,899,514,1,864
Lonrf1,1,8,46,2
Lonrf2,33,368,85,741
Lonrf3,0,0,9,356
Lor,0,1,10,0
Lox,0,0,0,0
Loxhd1,0,0,0,0
Loxl1,0,0,0,0
Loxl2,178,190,202,383
Loxl3,0,0,0,0
Loxl4,0,0,0,0
Lpar1,4,399,41,0
Lpar2,0,0,22,0
Lpar3,1,1,5,1
Lpar4,1,0,0,30
Lpar5,0,0,0,0
Lpar6,0,128,0,0
Lpcat1,0,0,0,0
Lpcat2,0,47,0,0
Lpcat2b,0,0,0,0
Lpcat3,40,11,7,314
Lpcat4,373,159,77,329
Lpgat1,2802,149,399,495
Lphn1,198,1064,391,1141
Lphn2,0,0,35,0
Lphn3,0,307,2,0
Lpin1,2,0,1,1
Lpin2,285,1180,694,56
Lpin3,0,0,0,0
Lpl,6,0,32,544
Lpo,0,0,0,0
Lpp,146,42,15,1
Lpxn,0,0,0,0
Lrat,0,0,0,0
Lrba,0,27,10,0
Lrch1,3,806,13,0
Lrch2,2,275,0,0
Lrch3,81,352,44,0
Lrch4,0,0,0,0
Lrcol1,0,0,0,0
Lrdd,0,0,0,0
Lrfn1,0,0,0,0
Lrfn2,2,125,0,20
Lrfn3,0,167,36,0
Lrfn4,0,97,1,0
Lrfn5,0,1667,21,628
Lrg1,0,0,0,0
Lrguk,0,0,0,0
Lrif1,372,12,0,145
Lrig1,0,0,0,0
Lrig2,0,0,27,18
Lrig3,0,0,0,0
Lrit1,0,0,0,0
Lrit2,0,0,0,0
Lrit3,0,0,0,0
Lrmp,0,0,0,0
Lrp1,1705,1558,847,374
Lrp10,0,202,0,0
Lrp11,419,973,769,144
Lrp12,0,670,2,0
Lrp1b,0,2060,23,335
Lrp2,0,0,0,0
Lrp2bp,0,0,0,0
Lrp3,0,156,0,0
Lrp4,5,183,4,1492
Lrp5,0,0,0,0
Lrp6,137,508,93,319
Lrp8,1,261,177,114
Lrpap1,2287,1789,316,1633
Lrpprc,5,330,119,1100
Lrr1,0,0,0,0
Lrrc1,0,0,0,0
Lrrc10,0,0,0,0
Lrrc10b,1015,34,0,10
Lrrc14,0,592,0,556
Lrrc14b,24,45,52,12
Lrrc15,0,0,0,0
Lrrc16a,0,211,16,0
Lrrc16b,0,0,0,0
Lrrc17,39258,4882,43380,8026
Lrrc18,0,0,0,0
Lrrc19,0,1,0,0
Lrrc2,12,57,39,122
Lrrc20,0,390,4,0
Lrrc23,33,0,0,0
Lrrc24,0,222,5,1
Lrrc25,0,0,0,0
Lrrc26,0,0,0,0
Lrrc27,0,0,0,0
Lrrc28,0,242,214,1
Lrrc29,0,0,0,0
Lrrc3,25,19,35,8
Lrrc30,0,0,0,0
Lrrc32,0,0,0,0
Lrrc33,1,2,1,1
Lrrc34,0,0,0,0
Lrrc36,0,0,0,0
Lrrc38,0,0,0,0
Lrrc39,11,60,10,5
Lrrc3b,0,734,0,1
Lrrc4,0,1934,29,397
Lrrc40,2,147,408,0
Lrrc41,18,410,19,398
Lrrc42,119,642,23,0
Lrrc43,0,0,0,0
Lrrc45,1,213,3,0
Lrrc46,0,0,0,0
Lrrc47,0,284,0,0
Lrrc48,0,0,0,0
Lrrc49,312,244,82,71
Lrrc4b,29,157,261,24
Lrrc4c,1,1343,296,49
Lrrc51,0,172,0,297
Lrrc52,0,0,0,0
Lrrc55,0,184,0,0
Lrrc56,0,0,0,0
Lrrc57,1754,1508,0,774
Lrrc58,79,1389,306,2785
Lrrc59,42,795,2,672
Lrrc6,1,75,12,0
Lrrc61,8,2,5,2
Lrrc63,0,0,0,0
Lrrc66,0,0,0,0
Lrrc69,0,0,0,0
Lrrc7,129,63,189,106
Lrrc71,0,37,0,0
Lrrc72,0,0,0,0
Lrrc73,109,148,336,1
Lrrc8a,0,201,8,601
Lrrc8b,0,157,0,0
Lrrc8c,0,328,114,0
Lrrc8d,32,0,0,265
Lrrc8e,13,2,16,2
Lrrc9,0,0,0,0
Lrrcc1,0,0,44,484
Lrrd1,0,0,0,0
Lrrfip1,66,1214,22,143
Lrrfip2,1,478,261,676
Lrriq1,0,0,44,0
Lrriq3,0,0,0,0
Lrriq4,0,7,0,0
Lrrk1,0,0,0,0
Lrrk2,0,0,42,0
Lrrn1,1261,937,742,600
Lrrn2,3531,294,147,13
Lrrn3,109,2099,1561,2
Lrrn4,353,0,0,0
Lrrn4cl,17,13,18,0
Lrrtm1,253,3456,389,686
Lrrtm2,1024,350,201,0
Lrrtm3,2,509,131,0
Lrrtm4,0,1368,283,99
Lrsam1,0,220,0,14
Lrtm1,0,35,0,0
Lrtm2,0,177,44,687
Lrwd1,0,45,0,0
Lsamp,0,742,287,536
Lsg1,0,0,0,1
Lsm1,0,460,2,0
Lsm10,99,232,24,409
Lsm11,169,1,15,4
Lsm12,656,307,1,777
Lsm14a,0,2,5,30
Lsm14b,0,139,14,11
Lsm2,0,88,2,493
Lsm3,238,443,323,435
Lsm4,98,588,312,649
Lsm5,312,84,160,88
Lsm6,1310,348,355,1802
Lsm7,1342,520,423,1753
Lsmd1,391,601,328,636
Lsp1,0,223,0,0
Lsr,0,0,0,0
Lss,5,0,952,0
Lst1,0,0,0,0
Lta,0,0,0,0
Lta4h,946,651,1,418
Ltb,0,0,0,0
Ltb4r1,0,0,0,0
Ltb4r2,0,0,0,0
Ltbp1,0,0,0,0
Ltbp2,0,0,0,0
Ltbp3,0,0,0,733
Ltbp4,412,862,19,0
Ltbr,0,0,0,3
Ltc4s,0,0,0,122
Ltf,0,0,0,0
Ltk,0,0,463,0
Ltn1,158,124,156,197
Ltv1,0,7,77,305
Luc7l,429,678,671,974
Luc7l2,478,198,1716,901
Luc7l3,277,800,1478,1436
Lum,0,594,2,0
Lurap1,0,12,0,0
Lurap1l,0,130,0,298
Luzp1,3134,1835,683,758
Luzp2,44,141,2,398
Luzp4,0,0,0,0
Lxn,1,33,124,752
Ly6a,0,0,68,0
Ly6c1,8,0,14,0
Ly6c2,0,0,0,0
Ly6d,0,0,0,0
Ly6e,1,1365,554,788
Ly6f,0,0,0,0
Ly6g5b,0,0,0,0
Ly6g5c,0,0,0,0
Ly6g6c,0,5,0,13
Ly6g6d,0,0,0,0
Ly6g6e,0,0,0,0
Ly6g6f,0,0,0,0
Ly6h,343,574,466,425
Ly6i,0,0,0,0
Ly6k,0,0,0,0
Ly75,0,0,0,0
Ly86,0,85,0,0
Ly9,0,0,0,0
Ly96,0,0,0,0
Lyar,0,2,0,702
Lyg1,0,0,0,0
Lyg2,0,0,0,0
Lyl1,0,0,3,2
Lyn,0,0,0,0
Lynx1,570,940,21,280
Lypd1,29,325,336,292
Lypd2,0,0,0,0
Lypd3,0,0,0,0
Lypd4,0,0,0,0
Lypd5,0,0,0,0
Lypd6,0,0,89,0
Lypd6b,0,0,0,0
Lypd8,0,0,0,0
Lypla1,19,9,25,611
Lypla2,64,157,453,267
Lyplal1,0,2,0,0
Lyrm1,0,0,8,0
Lyrm2,0,238,2,1038
Lyrm4,534,880,0,841
Lyrm5,0,77,4,13
Lyrm7,0,299,0,273
Lyrm9,22,276,29,0
Lysmd1,19,101,0,23
Lysmd2,439,948,1350,881
Lysmd3,0,222,11,0
Lysmd4,0,439,105,595
Lyst,2,911,20,994
Lyve1,0,0,0,0
Lyz1,0,0,0,0
Lyz2,0,0,0,0
Lyzl1,0,0,0,0
Lyzl4,0,0,0,0
Lyzl6,0,0,0,0
Lzic,0,0,0,0
Lztfl1,220,97,30,552
Lztr1,483,1055,287,485
Lzts1,0,132,1,0
Lzts2,0,0,0,0
M1ap,0,0,0,0
M6pr,6,670,801,0
Maats1,0,0,0,0
Mab21l1,0,0,16,0
Mab21l2,0,0,2,0
Mab21l3,0,0,0,0
Macc1,0,0,0,0
Macf1,0,1126,775,61
Macrod1,0,133,0,200
Macrod2,3,645,123,581
Mad1l1,0,282,0,0
Mad2l1,0,0,4,0
Mad2l1bp,0,220,0,0
Mad2l2,0,0,0,0
Madcam1,0,0,0,0
Madd,260,1558,626,689
Maea,6,1674,31,917
Mael,0,0,0,0
Maf,33,2,29,3
Maf1,1,1094,36,1079
Mafa,0,0,0,0
Mafb,1,2,20,4
Maff,0,0,0,0
Mafg,46,31,31,17
Mafk,0,685,0,0
Mag,37,4,16,0
Magea1,0,0,0,0
Magea10,0,0,0,0
Magea2,0,0,0,0
Magea3,0,0,0,0
Magea4,0,0,0,0
Magea5,0,0,0,0
Magea6,0,0,0,0
Magea8,0,0,0,0
Mageb1,0,0,0,0
Mageb16,0,0,0,0
Mageb16-ps1,25,17,15,0
Mageb18,0,1,0,0
Mageb2,0,0,0,0
Mageb3,0,0,0,0
Mageb4,0,0,0,0
Mageb5,0,0,0,0
Maged1,4489,5171,2409,3790
Maged2,0,746,0,205
Magee1,1116,774,359,1402
Magee2,1,522,6,553
Mageh1,316,196,132,394
Magel2,0,0,0,0
Magi1,1934,335,627,910
Magi2,124,888,27,31
Magi3,1384,3,144,93
Magix,0,0,0,0
Magoh,530,98,30,1379
Magohb,347,224,0,0
Magt1,64,58,273,417
Mak,0,0,0,0
Mak16,241,506,0,387
Mal,390,356,479,53
Mal2,1,1402,324,1065
Malat1,43868,87849,64647,135484
Mall,0,0,0,0
Malsu1,0,43,79,436
Malt1,23,244,25,30
Mamdc2,0,0,0,199
Mamdc4,0,0,0,119
Maml1,0,2,54,0
Maml2,25,1908,27,435
Maml3,0,261,0,0
Mamld1,0,237,0,0
Mamstr,0,0,0,18
Man1a,0,0,0,0
Man1a2,34,641,655,451
Man1b1,5,0,0,0
Man1c1,32,293,21,0
Man2a1,0,2,32,4
Man2a2,253,984,93,260
Man2b1,0,141,0,87
Man2b2,0,405,0,49
Man2c1,0,287,0,0
Manba,0,0,0,0
Manbal,838,236,29,753
Manea,3,1,1,0
Maneal,0,755,32,0
Manf,704,147,283,322
Mansc1,0,0,0,0
Mansc4,0,0,0,0
Maoa,13,95,50,2
Maob,0,1,0,564
Map1a,2124,1559,2815,650
Map1b,4306,22498,6159,8882
Map1lc3a,579,481,603,1401
Map1lc3b,605,1960,504,6230
Map1s,0,459,78,13
Map2,308,1397,2735,1035
Map2k1,5722,7153,304,5544
Map2k2,8,953,0,2136
Map2k3,0,643,0,0
Map2k4,671,1772,713,628
Map2k5,0,337,42,139
Map2k6,20,193,9,0
Map2k7,81,786,178,944
Map3k1,1,76,16,13
Map3k10,0,20,0,39
Map3k11,57,0,2,0
Map3k12,1366,1383,171,366
Map3k13,0,68,0,0
Map3k14,0,63,0,0
Map3k15,0,0,0,0
Map3k19,0,0,0,0
Map3k2,21,2,14,0
Map3k3,0,0,0,0
Map3k4,0,40,473,753
Map3k5,0,849,70,1019
Map3k6,0,0,0,0
Map3k7,39,143,23,776
Map3k8,0,0,0,0
Map3k9,81,0,0,0
Map4,62,2691,744,1161
Map4k1,0,0,0,0
Map4k2,0,0,0,0
Map4k3,17,359,56,591
Map4k4,247,23,53,81
Map4k5,0,0,0,580
Map6,3,729,276,275
Map6d1,1,837,0,1194
Map7,61,947,637,788
Map7d1,361,580,382,1327
Map7d2,342,377,1010,1971
Map9,795,2007,567,1140
Mapk1,4921,10520,4322,8714
Mapk10,969,2442,1214,3326
Mapk11,1,0,9,402
Mapk12,0,297,0,18
Mapk13,0,0,0,0
Mapk14,0,368,46,410
Mapk15,0,0,0,0
Mapk1ip1,50,248,0,0
Mapk1ip1l,258,714,228,326
Mapk3,4007,1658,160,797
Mapk4,133,355,5,693
Mapk6,222,24,0,108
Mapk7,0,746,0,12
Mapk8,0,77,915,250
Mapk8ip1,61,312,411,13
Mapk8ip2,0,940,546,0
Mapk8ip3,204,2225,69,1033
Mapk9,264,917,568,472
Mapkap1,50,84,38,527
Mapkapk2,0,0,34,24
Mapkapk3,0,0,0,0
Mapkapk5,457,63,4,0
Mapkbp1,4,216,58,259
Mapre1,285,1821,232,779
Mapre2,1898,2083,461,1447
Mapre3,513,2048,71,2326
Mapt,2937,2196,2349,2620
Marc1,0,0,0,0
Marc2,0,613,312,115
March1,0,362,269,0
March10,0,0,0,0
March11,0,0,0,0
March2,10,501,10,843
March3,0,0,0,0
March4,18,5,9,210
March5,83,217,324,593
March6,118,874,186,1635
March7,0,308,259,0
March8,124,412,22,0
March9,0,1,20,425
Marcks,346,1923,853,2481
Marcksl1,1221,3042,298,3189
Marcksl1-ps4,0,0,0,0
Marco,0,0,0,0
Marf1,0,332,294,168
Mark1,7,941,35,623
Mark2,2,665,28,155
Mark3,1,151,103,702
Mark4,0,1,0,0
Mars,0,364,4,0
Mars2,0,71,0,0
Marveld1,0,0,4,0
Marveld2,431,0,78,0
Marveld3,0,0,0,0
Mas1,0,937,1,118
Masp1,0,0,0,0
Masp2,0,0,0,0
Mast1,214,2,121,176
Mast2,0,0,0,0
Mast3,107,2220,1280,917
Mast4,385,2,22,438
Mastl,0,0,0,0
Mat1a,0,0,0,0
Mat2a,122,3645,124,909
Mat2b,3729,1379,1163,2152
Matk,0,2296,161,200
Matn1,0,0,0,0
Matn2,39,716,641,0
Matn3,0,0,0,0
Matn4,0,0,0,0
Matr3,2314,4472,2643,5116
Mau2,108,1960,298,967
Mavs,0,0,0,0
Max,1565,543,5,501
Maz,0,211,26,354
Mb,0,0,0,0
Mb21d1,16,3,15,8
Mb21d2,0,602,0,196
Mbd1,0,268,0,0
Mbd2,0,93,77,176
Mbd3,7,205,23,56
Mbd3l1,0,0,0,0
Mbd3l2,0,0,0,0
Mbd4,118,6,148,481
Mbd5,115,1284,218,0
Mbd6,0,92,0,5
Mbip,13,399,0,0
Mbl1,0,0,0,0
Mbl2,0,0,0,0
Mblac1,0,21,0,39
Mblac2,24,182,6,1788
Mbnl1,56,803,370,249
Mbnl2,5684,1838,2145,2138
Mbnl3,6,0,5,0
Mboat1,0,0,0,0
Mboat2,0,970,3,454
Mboat4,0,0,0,6
Mboat7,0,967,525,366
Mbp,11961,42971,1219,1292
Mbtd1,15,433,327,966
Mbtps1,0,725,219,7
Mbtps2,573,137,20,467
Mc1r,81,20,135,30
Mc2r,0,0,0,0
Mc3r,0,0,0,0
Mc4r,0,0,0,0
Mc5r,0,0,0,0
Mcam,1,0,0,0
Mcat,0,0,25,39
Mcc,66,402,115,44
Mccc1,0,103,0,96
Mccc2,0,364,49,0
Mcee,496,398,485,822
Mcf2,17,0,0,0
Mcf2l,0,612,486,0
Mcfd2,711,1399,98,13
Mchr1,1,0,0,0
Mcin,1,10,25,0
Mcl1,675,0,12,405
Mcm10,0,0,0,0
Mcm2,0,0,0,0
Mcm3,0,2,0,0
Mcm3ap,0,73,14,557
Mcm4,0,0,0,0
Mcm5,26,186,26,1087
Mcm6,38,1,1101,686
Mcm7,0,0,0,1
Mcm8,1,10,1,0
Mcm9,0,431,1,0
Mcmbp,370,14,27,450
Mcmdc2,122,164,158,21
Mcoln1,170,85,165,103
Mcoln2,0,0,0,0
Mcoln3,0,0,0,0
Mcph1,4,1,5,2
Mcpt-ps1,0,0,0,0
Mcpt1,0,0,0,0
Mcpt2,0,0,0,0
Mcpt4,0,0,0,0
Mcpt8,0,0,0,0
Mcpt9,0,0,0,0
Mcrs1,1,800,4,435
Mctp1,19,476,691,480
Mctp2,0,1,2,0
Mcts1,1140,853,115,1026
Mcts2,0,0,0,552
Mcu,1156,91,482,522
Mdc1,5,16,124,5
Mdfi,0,0,0,0
Mdfic,0,0,0,0
Mdga1,413,2,11,4
Mdga2,11,180,110,123
Mdh1,6767,9529,1929,7349
Mdh1b,0,0,0,0
Mdh2,3259,5292,1270,6908
Mdk,0,0,0,73
Mdm1,0,0,0,0
Mdm2,4,1123,80,14
Mdm4,0,41,7,0
Mdn1,0,490,118,736
Mdp1,39,883,2,564
Me1,0,0,40,200
Me2,0,262,16,401
Me3,0,637,55,94
Mea1,1342,484,1,471
Meaf6,175,293,6,562
Mecom,0,0,0,29
Mecp2,612,432,130,3154
Mecr,0,285,278,0
Med1,648,421,328,526
Med10,2,401,503,1680
Med11,0,190,149,345
Med12,1,465,80,12
Med12l,0,1257,97,247
Med13,269,909,425,495
Med13l,0,1227,1375,193
Med14,0,0,113,1038
Med15,160,245,59,338
Med16,31,296,132,103
Med17,570,0,0,589
Med18,12,12,16,12
Med19,215,669,167,40
Med20,0,534,0,897
Med21,84,114,19,400
Med22,1423,1288,0,434
Med23,0,10,14,0
Med24,5,687,1,165
Med25,0,315,0,5
Med26,0,309,1,0
Med27,0,652,62,516
Med28,1,1434,118,2017
Med29,1460,255,71,251
Med30,715,241,0,0
Med31,0,127,0,312
Med4,1,141,1100,592
Med6,0,795,0,544
Med7,0,3,3,2444
Med8,148,602,8,0
Med9,7,215,412,149
Medag,1,18,10,1
Mef2a,212,635,641,357
Mef2b,0,0,0,0
Mef2c,2551,1786,3036,2464
Mef2d,4,166,6,208
Mefv,0,0,0,0
Meg3,5178,4768,3519,1995
Megf10,0,0,4,0
Megf11,211,206,4,616
Megf6,0,47,0,226
Megf8,0,0,209,0
Megf9,103,1169,73,322
Mei1,0,0,0,0
Mei4,13,4,4,2
Meig1,346,0,0,6
Meiob,0,0,0,0
Meis1,4,0,21,2
Meis2,13,251,43,0
Meis3,0,812,144,0
Melk,0,0,0,0
Memo1,822,120,0,1155
Men1,1446,503,6,597
Meox1,0,1,0,0
Meox2,0,0,0,0
Mep1a,0,0,0,0
Mep1b,0,0,0,0
Mepce,0,811,0,320
Mepe,0,1,0,0
Mertk,0,0,0,0
Mesdc1,0,0,212,308
Mesdc2,11,1353,0,943
Mesp1,0,0,0,0
Mesp2,0,3,0,0
