,GSM3690881_NS_G18_htseq,GSM3690883_NS_G20_htseq,GSM3690882_NS_G19_htseq,GSM3690884_NS_G21_htseq
Gtf3c2,989,32,54,95
Gtf3c3,389,185,24,17
Gtf3c4,178,0,65,6
Gtf3c5,1,250,20,0
Gtf3c6,54,76,18,157
Gtl3,439,306,4,21
Gtpbp1,249,389,10,13
Gtpbp10,40,769,0,0
Gtpbp2,1,529,187,6
Gtpbp3,399,20,7,14
Gtpbp4,557,33,243,0
Gtpbp5,0,65,0,0
Gtpbp6,0,0,0,0
Gtpbp8,0,1,0,0
Gtse1,0,0,0,0
Gtsf1,0,0,0,0
Gtsf1l,0,0,0,0
Guca1a,0,0,0,0
Guca1b,0,0,0,0
Guca2a,0,0,0,0
Guca2b,0,0,0,0
Gucd1,250,0,0,0
Gucy1a2,221,735,385,259
Gucy1a3,108,25,25,219
Gucy1b2,0,0,0,0
Gucy1b3,177,565,46,100
Gucy2c,0,0,0,0
Gucy2d,0,0,0,0
Gucy2e,10,0,0,0
Gucy2f,0,0,0,0
Gucy2g,0,0,0,0
Guf1,514,0,0,4
Guk1,328,0,310,1
Gulo,0,0,0,0
Gulp1,0,0,0,0
Gusb,2,0,0,0
Gvin1,0,0,0,0
Gxylt1,9,233,20,0
Gxylt2,0,0,18,0
Gyg,85,0,23,0
Gyk,0,8,51,417
Gykl1,0,0,0,0
Gyltl1b,0,0,0,0
Gypa,0,0,0,0
Gypc,1,0,0,0
Gys1,11,70,1,0
Gys2,0,0,0,0
Gzf1,221,69,167,312
Gzma,0,0,0,0
Gzmb,0,0,0,0
Gzmc,0,0,0,0
Gzmd,0,0,0,0
Gzme,0,0,0,0
Gzmf,0,0,0,0
Gzmg,0,0,0,0
Gzmk,0,0,0,0
Gzmm,0,0,0,0
Gzmn,1,0,0,0
H13,748,28,68,16
H19,0,0,0,0
H1f0,447,22,28,62
H1fnt,0,0,0,0
H1foo,0,0,0,0
H1fx,4,14,1,0
H2-Aa,0,0,0,0
H2-Ab1,0,0,0,0
H2-Bl,0,0,0,0
H2-D1,1,222,8,35
H2-DMa,37,0,1,0
H2-DMb1,0,0,0,0
H2-DMb2,0,0,0,0
H2-Ea-ps,0,0,0,0
H2-Eb1,0,0,0,0
H2-Eb2,0,1,0,0
H2-K1,2,0,25,1
H2-K2,0,0,0,0
H2-Ke2,213,30,26,262
H2-Ke6,6,2,10,24
H2-L,0,0,0,0
H2-M1,0,0,0,0
H2-M10.1,0,0,0,0
H2-M10.2,0,0,0,0
H2-M10.3,0,0,0,0
H2-M10.4,0,0,0,0
H2-M10.5,0,0,0,0
H2-M10.6,0,0,0,0
H2-M11,0,0,0,0
H2-M2,3,1,9,2
H2-M3,0,0,0,0
H2-M5,0,3,0,0
H2-M9,0,0,0,0
H2-Oa,0,0,0,0
H2-Ob,0,0,0,0
H2-Q1,0,0,0,0
H2-Q10,0,0,0,0
H2-Q2,0,0,0,0
H2-Q4,9,14,8,28
H2-Q5,0,0,0,0
H2-Q6,0,0,0,0
H2-Q7,0,0,0,0
H2-Q8,0,0,0,0
H2-Q9,0,0,0,0
H2-T10,69,50,103,65
H2-T22,0,0,0,0
H2-T23,28,18,33,10
H2-T24,137,22,126,16
H2-T3,11,9,16,9
H2-T9,0,0,0,0
H2afb1,0,0,0,0
H2afj,109,140,162,93
H2afv,1,0,3,0
H2afx,333,0,0,269
H2afy,204,766,86,65
H2afy2,0,22,1,2
H2afy3,0,0,0,0
H2afz,3498,1059,629,1003
H2bfm,0,0,0,0
H3f3a,479,594,218,592
H3f3b,2566,1347,716,1420
H60b,0,0,0,0
H60c,0,0,0,0
H6pd,0,0,0,0
Haao,0,0,0,0
Habp2,0,0,0,0
Habp4,485,149,203,264
Hace1,33,0,85,7
Hacl1,6,0,0,0
Hadh,2,0,32,0
Hadha,277,134,15,59
Hadhb,1829,855,37,87
Hagh,815,0,70,910
Haghl,0,0,0,0
Hal,0,0,0,0
Hamp,0,0,0,0
Hamp2,0,0,0,0
Hand1,0,0,0,0
Hand2,0,0,0,0
Hao1,0,0,0,0
Hao2,0,7,0,0
Hap1,378,184,378,175
Hapln1,84,0,81,0
Hapln2,0,0,13,0
Hapln3,0,0,0,0
Hapln4,200,1,75,16
Harbi1,0,0,1,1
Hars,1027,659,421,115
Hars2,1408,0,1,1
Has1,0,0,0,0
Has2,0,0,0,0
Has2as,0,0,0,0
Has3,0,0,0,0
Hat1,513,0,10,0
Haus1,0,0,0,0
Haus2,644,93,14,38
Haus3,0,9,0,0
Haus4,0,0,0,0
Haus5,0,0,0,0
Haus6,0,0,14,0
Haus7,0,0,0,0
Haus8,0,0,0,8
Havcr1,0,0,0,0
Havcr2,6,0,3,0
Hax1,7,223,0,868
Hba-a1,0,0,0,0
Hba-a2,0,0,0,0
Hba-x,0,0,0,0
Hbb-b1,0,0,0,0
Hbb-b2,0,0,0,0
Hbb-bh1,0,0,0,0
Hbb-bh2,0,0,0,0
Hbb-y,0,0,0,0
Hbegf,56,951,0,53
Hbp1,25,0,47,80
Hbq1a,0,0,0,0
Hbq1b,0,0,0,0
Hbs1l,664,756,20,10
Hc,0,0,0,0
Hccs,12,136,1,80
Hcfc1,29,10,65,515
Hcfc1r1,200,69,227,105
Hcfc2,87,0,8,0
Hck,0,0,0,0
Hcls1,0,0,0,0
Hcn1,174,6,111,10
Hcn2,10,5,2,32
Hcn3,0,0,3,0
Hcn4,3,0,0,15
Hcrt,0,0,0,0
Hcrtr1,0,0,0,0
Hcrtr2,12,0,14,0
Hcst,0,136,0,0
Hdac1,9,522,92,91
Hdac10,609,12,3,0
Hdac11,161,105,61,147
Hdac2,292,7,65,131
Hdac3,94,286,0,183
Hdac4,93,114,68,52
Hdac5,0,12,6,4
Hdac6,1612,2,27,545
Hdac7,0,226,153,0
Hdac8,5,0,0,10
Hdac9,267,30,78,6
Hdc,1,0,0,0
Hddc2,49,8,32,0
Hddc3,14,38,1,0
Hdgf,55,635,254,28
Hdgfl1,0,0,0,0
Hdgfrp2,781,213,132,326
Hdgfrp3,159,306,114,920
Hdhd1a,0,0,0,0
Hdhd2,141,632,392,8
Hdhd3,13,0,0,0
Hdlbp,1252,283,1034,82
Hdx,1,0,0,3
Heatr1,0,40,88,41
Heatr2,1,1,1,1
Heatr3,106,69,16,17
Heatr5a,508,24,40,26
Heatr5b,656,836,4,101
Heatr6,282,94,48,71
Heatr8,0,0,0,0
Hebp1,16,10,0,5
Hebp2,0,0,0,0
Heca,0,51,3,1
Hectd1,348,112,165,150
Hectd2,0,36,0,0
Hectd3,56,0,16,0
Hecw1,325,60,369,677
Hecw2,0,0,18,2
Heg1,0,0,0,0
Helb,15,1,3,3
Hells,0,67,1,0
Helq,270,8,0,44
Helt,0,0,0,0
Helz,730,0,75,10
Helz2,0,1,0,0
Hemgn,2,0,0,0
Hemk1,46,1,46,0
Hemt1,0,0,0,0
Henmt1,0,0,0,0
Hepacam,34,6,257,386
Hepacam2,0,0,0,0
Heph,0,0,0,0
Hephl1,0,0,0,0
Herc1,826,1206,467,1242
Herc2,1124,1820,305,232
Herc3,91,9,887,71
Herc4,207,0,75,0
Herc6,1,0,1,0
Herpud1,684,0,57,241
Herpud2,130,163,256,149
Hes1,28,181,0,40
Hes2,0,0,0,0
Hes3,0,0,0,0
Hes5,0,35,0,0
Hes6,0,147,6,0
Hes7,0,0,0,0
Hesx1,0,0,0,0
Hexa,311,36,37,20
Hexb,0,907,393,1
Hexdc,127,4,102,0
Hexim1,922,278,89,0
Hexim2,4,180,0,9
Hey1,73,0,0,193
Hey2,0,0,0,0
Heyl,0,0,0,2
Hfe,47,0,0,0
Hfe2,0,0,0,0
Hfm1,0,30,0,0
Hgd,0,0,0,0
Hgf,0,0,0,0
Hgfac,0,0,0,0
Hgs,639,50,320,15
Hgsnat,710,472,455,19
Hhat,0,0,3,29
Hhatl,0,0,0,0
Hhex,1,0,1,0
Hhip,25,0,0,15
Hhipl1,0,0,0,0
Hhipl2,0,0,0,0
Hhla1,0,0,0,0
Hiat1,14,149,16,1
Hiatl1,265,59,138,1
Hibadh,30,402,0,1
Hibch,525,1,372,1
Hic1,0,0,0,0
Hic2,5,0,0,1
Hid1,738,171,410,0
Hif1a,554,707,58,20
Hif1an,5,0,125,2
Hif3a,0,0,1,0
Higd1a,842,0,534,471
Higd1b,130,0,0,0
Higd1c,0,0,0,0
Higd2a,437,242,54,1
Hilpda,0,0,0,0
Hils1,0,0,0,0
Hinfp,0,0,0,0
Hint1,1521,669,120,1449
Hint2,113,18,61,104
Hint3,353,1,1,0
Hip1,0,69,7,5
Hip1r,77,0,1,21
Hipk1,39,101,91,84
Hipk2,121,148,212,4
Hipk3,0,13,110,190
Hipk4,249,75,106,84
Hira,0,3,1,6
Hirip3,0,0,8,31
Hist1h1a,0,0,0,0
Hist1h1b,0,0,0,0
Hist1h1c,0,0,44,0
Hist1h1d,0,0,0,0
Hist1h1e,0,10,0,5
Hist1h1t,0,0,0,0
Hist1h2aa,0,0,0,0
Hist1h2ab,0,0,0,0
Hist1h2ac,0,0,0,0
Hist1h2ad,0,0,0,0
Hist1h2ae,0,0,0,0
Hist1h2af,0,1,0,1
Hist1h2ag,0,0,0,0
Hist1h2ah,0,0,0,0
Hist1h2ai,0,0,0,0
Hist1h2ak,0,0,0,0
Hist1h2an,0,0,0,0
Hist1h2ao,0,0,0,0
Hist1h2ap,0,0,0,0
Hist1h2ba,0,0,0,0
Hist1h2bb,0,0,0,0
Hist1h2bc,803,258,241,217
Hist1h2be,46,0,0,0
Hist1h2bf,0,0,0,0
Hist1h2bg,0,0,0,0
Hist1h2bh,0,0,0,0
Hist1h2bj,0,0,0,0
Hist1h2bk,0,0,0,0
Hist1h2bl,0,0,0,0
Hist1h2bm,0,0,0,0
Hist1h2bn,0,0,0,0
Hist1h2bp,0,0,0,0
Hist1h2bq,0,0,0,0
Hist1h2br,0,0,0,0
Hist1h3a,0,0,0,0
Hist1h3b,0,0,0,0
Hist1h3c,0,0,0,0
Hist1h3d,0,0,0,0
Hist1h3e,0,0,0,0
Hist1h3f,0,0,0,0
Hist1h3g,0,0,0,0
Hist1h3h,0,0,0,0
Hist1h3i,0,0,0,0
Hist1h4a,0,0,0,0
Hist1h4b,0,0,0,0
Hist1h4c,0,0,0,0
Hist1h4d,0,0,0,0
Hist1h4f,0,0,0,0
Hist1h4h,7,0,0,0
Hist1h4i,0,0,0,0
Hist1h4j,0,0,0,0
Hist1h4k,21,0,0,0
Hist1h4m,0,0,0,0
Hist1h4n,0,0,0,0
Hist2h2aa1,0,0,0,0
Hist2h2aa2,0,0,0,0
Hist2h2ab,0,0,0,0
Hist2h2ac,0,0,0,0
Hist2h2bb,150,0,0,0
Hist2h2be,0,1,0,0
Hist2h3b,0,0,0,0
Hist2h3c1,0,1,0,0
Hist2h3c2,0,0,0,0
Hist2h4,0,0,0,0
Hist3h2a,78,5,7,36
Hist3h2ba,0,0,66,0
Hist3h2bb-ps,0,0,0,0
Hist4h4,18,61,25,9
Hivep1,30,0,85,2
Hivep2,47,488,165,8
Hivep3,127,4,20,38
Hjurp,0,0,0,7
Hk1,335,368,260,810
Hk2,44,0,21,0
Hk3,0,0,0,0
Hkdc1,0,0,0,0
Hlcs,207,1,66,1
Hlf,99,597,494,55
Hltf,492,79,181,23
Hlx,0,0,0,0
Hmbox1,9,22,67,0
Hmbs,963,52,0,0
Hmcn1,0,16,0,0
Hmg20a,53,49,100,1050
Hmg20b,119,1,7,0
Hmga1,0,0,0,0
Hmga1-rs1,0,0,0,0
Hmga2,100,0,1,68
Hmga2-ps1,0,0,0,0
Hmgb1,1411,893,389,2521
Hmgb1-rs17,23,5,18,4
Hmgb2,0,2,4,15
Hmgb3,38,0,3,8
Hmgb4,0,0,0,0
Hmgcl,0,0,16,49
Hmgcll1,0,0,4,0
Hmgcr,200,0,118,2
Hmgcs1,340,64,191,584
Hmgcs2,0,0,0,0
Hmgn1,145,484,46,1208
Hmgn2,1481,139,371,612
Hmgn3,729,230,17,377
Hmgn5,23,76,63,39
Hmgxb3,58,1,46,396
Hmgxb4,23,28,278,10
Hmha1,0,0,0,5
Hmmr,61,49,7,3
Hmox1,0,0,0,0
Hmox2,15,306,16,2
Hmx1,0,0,0,0
Hmx2,0,0,0,0
Hmx3,0,0,0,0
Hn1,706,185,1,6
Hn1l,0,0,0,0
Hnf1a,0,0,0,0
Hnf1b,0,0,0,0
Hnf4a,0,0,0,0
Hnf4g,9,14,12,57
Hnmt,228,0,0,0
Hnrnpa0,280,0,221,379
Hnrnpa1,53,0,0,2
Hnrnpa2b1,4348,3883,2180,2386
Hnrnpa3,1031,841,654,531
Hnrnpab,313,108,73,713
Hnrnpc,707,496,175,621
Hnrnpd,228,165,123,1376
Hnrnpf,1118,0,21,1105
Hnrnph1,505,1132,1411,1501
Hnrnph2,952,3,7,1149
Hnrnph3,61,0,2,0
Hnrnpk,3259,2513,199,689
Hnrnpl,431,164,181,181
Hnrnpm,523,469,119,83
Hnrnpr,131,120,42,546
Hnrnpu,857,1657,325,1508
Hnrnpul1,156,5,0,2
Hnrnpul2,303,116,362,57
Hnrpdl,473,1137,293,1133
Hnrpll,0,100,0,3
Hoga1,0,0,0,0
Homer1,105,87,168,170
Homer2,152,0,494,4
Homer3,0,0,0,0
Homez,4,0,22,0
Hook1,450,2,77,0
Hook2,0,0,0,0
Hook3,227,779,693,48
Hopx,0,0,11,6
Hormad1,0,0,0,0
Hormad2,0,0,0,0
Hotair,0,0,0,0
Hoxa1,0,0,0,0
Hoxa10,0,0,0,0
Hoxa11,0,0,0,0
Hoxa11as,0,0,0,3
Hoxa13,0,0,0,0
Hoxa2,0,0,0,0
Hoxa3,0,0,0,0
Hoxa4,0,0,0,0
Hoxa5,0,0,0,0
Hoxa6,0,0,0,0
Hoxa7,0,0,0,0
Hoxa9,0,0,0,0
Hoxb1,0,0,0,0
Hoxb13,0,0,0,0
Hoxb2,0,0,0,0
Hoxb3,0,0,0,0
Hoxb4,0,0,0,0
Hoxb5,0,0,0,0
Hoxb6,0,0,0,0
Hoxb7,0,0,0,0
Hoxb8,0,0,0,1
Hoxb9,4,3,1,2
Hoxc10,0,0,0,0
Hoxc11,0,0,0,0
Hoxc12,0,0,0,0
Hoxc13,0,0,0,0
Hoxc4,0,0,0,0
Hoxc5,0,0,0,0
Hoxc6,0,0,0,0
Hoxc8,2,3,1,0
Hoxc9,0,0,0,0
Hoxd1,0,0,0,0
Hoxd10,0,0,0,0
Hoxd11,1,1,0,2
Hoxd12,0,0,0,0
Hoxd13,0,0,0,0
Hoxd3,0,0,0,0
Hoxd4,0,0,0,0
Hoxd8,0,0,0,0
Hoxd9,0,0,0,0
Hp,0,0,0,0
Hp1bp3,845,164,921,234
Hpca,1180,978,648,160
Hpcal1,0,532,34,0
Hpcal4,2790,919,266,1508
Hpd,0,0,0,0
Hpdl,209,0,0,0
Hpgd,0,0,0,0
Hpgds,46,50,38,27
Hpn,0,0,0,0
Hprt,1163,4,196,130
Hps1,1,0,0,0
Hps3,20,3,26,4
Hps4,9,3,0,4
Hps5,0,18,0,104
Hps6,0,0,0,0
Hpse,0,0,0,0
Hpse2,0,0,0,0
Hpx,0,0,0,0
Hr,3,0,244,0
Hras1,491,3,38,428
Hrasls,0,0,17,2
Hrasls5,0,0,0,0
Hrc,1,47,1,0
Hrct1,0,0,0,0
Hrg,0,0,0,0
Hrh1,12,0,0,0
Hrh2,0,0,0,0
Hrh3,26,0,0,9
Hrh4,0,0,0,0
Hrk,166,76,61,37
Hrnr,0,0,0,0
Hrsp12,331,7,214,560
Hs1bp3,8,1,0,0
Hs2st1,127,9,3,0
Hs3st1,0,0,11,271
Hs3st2,0,0,0,0
Hs3st3a1,0,0,0,0
Hs3st3b1,22,0,0,0
Hs3st4,40,13,95,27
Hs3st5,0,0,1,0
Hs3st6,0,0,0,0
Hs6st1,435,0,14,7
Hs6st2,13,4,259,10
Hs6st3,0,0,0,0
Hsbp1,3084,868,74,2373
Hsbp1l1,1,19,3,1
Hscb,0,0,10,0
Hsd11b1,2,0,0,287
Hsd11b2,0,0,0,0
Hsd17b1,0,0,0,0
Hsd17b10,0,3,1,583
Hsd17b11,9,0,0,0
Hsd17b12,370,2,105,1
Hsd17b13,8,1,0,4
Hsd17b14,0,0,0,0
Hsd17b2,0,0,0,0
Hsd17b3,0,0,0,0
Hsd17b4,356,12,76,30
Hsd17b6,0,0,0,0
Hsd17b7,95,54,1,0
Hsd3b1,0,0,0,0
Hsd3b2,0,0,0,0
Hsd3b3,0,0,0,0
Hsd3b4,0,0,0,0
Hsd3b5,0,0,0,0
Hsd3b6,0,0,0,0
Hsd3b7,0,0,0,5
Hsdl1,408,435,171,80
Hsdl2,0,3,7,0
Hsf1,0,642,0,0
Hsf2,457,319,26,505
Hsf2bp,4,0,16,8
Hsf3,0,0,0,0
Hsf4,0,10,0,0
Hsf5,166,0,0,0
Hsfy2,0,0,0,0
Hsh2d,0,0,0,0
Hsp90aa1,13782,7266,5909,13075
Hsp90ab1,12902,7961,4415,9837
Hsp90b1,2283,2212,1071,919
Hspa12a,928,280,248,989
Hspa12b,0,0,15,0
Hspa13,50,106,187,1
Hspa14,0,299,0,181
Hspa1a,60,0,0,0
Hspa1b,0,239,0,0
Hspa1l,0,0,0,0
Hspa2,554,1,2,23
Hspa4,147,123,89,1542
Hspa4l,194,2,80,3
Hspa5,1108,873,443,201
Hspa8,9481,5302,2564,15517
Hspa9,496,406,451,1786
Hspb1,0,0,11,0
Hspb11,0,0,0,0
Hspb2,0,0,0,0
Hspb3,0,0,0,0
Hspb6,0,0,0,0
Hspb7,10,6,19,11
Hspb8,104,0,4,0
Hspb9,0,0,0,0
Hspbap1,0,0,13,0
Hspbp1,9,530,55,462
Hspd1,1268,38,135,988
Hspe1,483,165,16,323
Hspg2,0,0,0,0
Hsph1,4092,1293,613,4486
Htatip2,0,0,0,0
Htatsf1,203,0,455,221
Htr1a,11,3,42,0
Htr1b,0,0,0,0
Htr1d,0,0,0,0
Htr1f,0,0,2,0
Htr2a,0,0,0,0
Htr2b,0,15,0,0
Htr2c,69,0,50,3
Htr3a,0,0,0,0
Htr3b,3,4,3,0
Htr4,337,225,93,0
Htr5a,7,115,0,0
Htr5b,0,0,0,0
Htr6,0,0,0,0
Htr7,1,0,32,0
Htra1,55,0,27,0
Htra2,0,0,0,0
Htra3,0,0,0,0
Htra4,116,0,23,0
Htt,8,315,139,22
Hunk,29,0,15,0
Hus1,101,4,0,0
Hus1b,0,0,0,0
Huwe1,678,196,331,178
Hvcn1,0,0,0,0
Hyal1,21,13,38,25
Hyal2,30,0,0,0
Hyal3,147,87,112,66
Hyal4,0,0,0,0
Hyal5,0,0,0,0
Hyal6,0,0,0,0
Hydin,0,0,0,0
Hyi,0,18,0,0
Hyls1,0,13,7,0
Hyou1,52,104,366,55
Hypk,492,581,191,189
I730028E13Rik,0,0,0,0
I730030J21Rik,0,0,0,0
I830012O16Rik,2,6,0,2
I830077J02Rik,0,0,0,0
Iah1,0,0,0,0
Iapp,0,0,0,0
Iars,40,753,90,46
Iars2,630,0,394,3
Iba57,6,1,7,3
Ibsp,0,0,0,0
Ibtk,110,27,4,453
Ica1,261,549,0,366
Ica1l,23,0,5,20
Icam1,9,0,0,0
Icam2,0,0,0,0
Icam4,0,0,0,158
Icam5,8,314,27,0
Ick,0,439,139,6
Icmt,0,0,0,0
Icos,0,0,0,0
Icosl,0,0,0,0
Ict1,141,0,19,1
Id1,111,23,60,42
Id2,624,261,415,1853
Id3,0,0,6,0
Id4,18,2,53,43
Ide,426,36,80,11
Idh1,20,0,97,7
Idh2,70,326,0,0
Idh3a,309,41,134,11
Idh3b,1674,1378,748,1964
Idh3g,614,138,224,25
Idi1,0,10,29,109
Idi2,0,0,0,0
Idnk,5,144,19,17
Ido1,0,0,0,0
Ido2,0,0,0,0
Ids,251,84,285,265
Idua,75,0,0,0
Ier2,0,0,7,0
Ier3,4,0,0,0
Ier3ip1,685,471,101,752
Ier5,5,20,7,8
Ier5l,145,7,0,0
Iffo1,211,65,89,0
Iffo2,21,62,107,3
Ifi202b,0,0,0,0
Ifi203,89,62,78,161
Ifi204,0,0,0,0
Ifi205,0,0,0,0
Ifi27l1,3,0,0,5
Ifi27l2a,0,0,5,0
Ifi27l2b,0,0,0,0
Ifi30,0,0,0,0
Ifi35,0,0,0,22
Ifi44,1,1,3,0
Ifi44l,0,0,0,0
Ifi47,0,0,0,0
Ifih1,4,0,0,0
Ifit1,28,15,6,27
Ifit2,0,0,4,0
Ifit3,48,0,1,3
Ifitm1,0,0,0,0
Ifitm10,0,0,0,0
Ifitm2,0,0,0,1
Ifitm3,5,0,1,121
Ifitm5,0,0,0,0
Ifitm6,0,0,0,0
Ifitm7,0,0,2,0
Ifltd1,0,0,0,0
Ifna1,0,0,0,0
Ifna11,0,0,0,0
Ifna12,0,0,0,0
Ifna13,0,0,0,0
Ifna14,0,0,0,0
Ifna2,0,0,0,0
Ifna4,0,0,0,0
Ifna5,0,0,0,0
Ifna6,0,0,0,0
Ifna7,0,0,0,0
Ifna9,0,0,0,0
Ifnab,0,0,0,0
Ifnar1,1380,638,688,489
Ifnar2,491,0,0,0
Ifnb1,0,0,0,0
Ifne,0,0,0,0
Ifng,0,0,0,0
Ifngr1,595,0,0,0
Ifngr2,39,40,33,29
Ifnk,0,0,0,0
Ifnl2,0,0,0,0
Ifnl3,0,0,0,0
Ifnlr1,0,0,0,0
Ifnz,0,0,0,0
Ifrd1,445,0,0,213
Ifrd2,136,0,26,0
Ift122,140,0,0,6
Ift140,0,3,11,0
Ift172,53,78,28,0
Ift20,955,161,322,648
Ift27,205,0,0,48
Ift43,187,0,0,0
Ift46,367,538,190,12
Ift52,4,31,6,0
Ift57,0,35,12,111
Ift74,0,1,41,0
Ift80,54,17,10,3
Ift81,6,3,32,13
Ift88,2,57,0,12
Igbp1,949,3,161,0
Igbp1b,1,0,0,0
Igdcc3,0,0,178,0
Igdcc4,156,0,0,0
Igf1,4,8,60,6
Igf1r,108,105,168,69
Igf2,52,9,2,42
Igf2as,0,0,0,0
Igf2bp1,0,0,0,0
Igf2bp2,0,0,0,0
Igf2bp3,192,0,0,0
Igf2r,49,52,54,218
Igfals,0,0,0,0
Igfbp1,0,0,0,0
Igfbp2,60,0,31,73
Igfbp3,0,0,9,0
Igfbp4,7,0,117,7
Igfbp5,700,354,578,565
Igfbp6,134,6,1,7
Igfbp7,0,0,37,0
Igfbpl1,0,0,1,0
Igfl3,0,0,0,0
Igflr1,17,739,0,0
Igfn1,1,0,0,0
Ighmbp2,54,24,19,0
Igj,0,2,0,0
Igll1,0,0,0,0
Iglon5,41,10,23,13
Igsf1,1,0,169,7
Igsf10,80,0,0,0
Igsf11,77,92,119,46
Igsf21,42,0,3,80
Igsf23,0,0,0,0
Igsf3,864,352,106,416
Igsf5,0,0,0,0
Igsf6,0,0,0,0
Igsf8,391,292,104,39
Igsf9,5,5,9,3
Igsf9b,27,0,0,1
Igtp,0,0,0,0
Ihh,0,0,0,0
Iigp1,0,6,1,0
Ik,1343,217,1155,109
Ikbip,26,25,69,20
Ikbkap,551,15,96,7
Ikbkb,16,124,4,7
Ikbke,0,0,0,0
Ikbkg,15,52,65,255
Ikzf1,0,0,0,0
Ikzf2,0,1,6,0
Ikzf3,0,0,0,0
Ikzf4,1,33,27,26
Ikzf5,16,98,76,10
Il10,0,0,0,0
Il10ra,0,159,180,0
Il10rb,0,0,56,0
Il11,30,41,40,29
Il11ra1,51,14,2,0
Il11ra2,0,0,0,0
Il12a,0,0,0,0
Il12b,0,0,0,0
Il12rb1,0,0,0,0
Il12rb2,0,0,0,2
Il13,0,0,0,0
Il13ra1,0,0,0,0
Il13ra2,0,0,0,0
Il15,0,0,2,0
Il15ra,0,0,0,0
Il16,6,6,0,0
Il17a,0,0,0,0
Il17b,0,0,0,0
Il17c,0,0,0,0
Il17d,0,0,4,9
Il17f,0,0,0,0
Il17ra,4,6,10,5
Il17rb,50,0,0,0
Il17rc,0,0,0,0
Il17rd,39,6,18,3
Il17re,0,0,0,0
Il18,0,0,4,0
Il18bp,0,0,0,1
Il18r1,74,24,43,13
Il18rap,0,0,0,0
Il19,0,0,0,0
Il1a,0,0,0,0
Il1b,0,0,0,0
Il1f10,0,0,0,0
Il1f5,0,0,0,0
Il1f6,0,0,0,0
Il1f8,0,0,0,0
Il1f9,8,100,3,81
Il1r1,1,259,10,81
Il1r2,0,0,0,0
Il1rap,1557,1439,48,159
Il1rapl1,60,27,36,1
Il1rapl2,0,0,0,0
Il1rl1,18,17,18,4
Il1rl2,0,0,0,0
Il1rn,5,2,4,1
Il2,0,0,0,0
Il20,0,0,0,0
Il20ra,0,0,0,0
Il20rb,0,0,0,0
Il21,0,0,0,0
Il21r,1,2,6,12
Il22,0,0,0,0
Il22ra1,4,2,1,0
Il22ra2,0,0,0,0
Il23a,0,0,0,0
Il23r,0,0,0,0
Il24,0,0,0,0
Il25,0,0,0,0
Il27,0,0,0,0
Il27ra,0,0,0,0
Il2ra,9,3,12,6
Il2rb,0,0,0,0
Il2rg,0,0,0,0
Il3,0,0,0,0
Il31,0,0,0,0
Il31ra,0,0,0,0
Il33,30,284,60,0
Il34,3,0,14,0
Il3ra,0,0,0,0
Il4,0,0,0,0
Il4i1,30,0,0,0
Il4ra,0,0,0,0
Il5,0,0,0,0
Il5ra,68,47,70,13
Il6,0,0,0,0
Il6ra,2,0,9,6
Il6st,32,0,0,38
Il7,0,0,0,0
Il7r,5,8,11,18
Il8,7,1,5,1
Il9,0,0,0,0
Il9r,0,0,0,0
Ildr1,0,0,0,0
Ildr2,1173,520,1619,310
Ilf2,386,38,42,558
Ilf3,91,407,422,288
Ilk,354,754,61,0
Ilkap,516,113,372,11
Iltifb,0,0,0,0
Ilvbl,6,0,4,0
Immp1l,604,507,0,10
Immp2l,0,1,0,405
Immt,855,386,153,306
Imp3,1,7,0,189
Imp4,65,0,0,0
Impa1,110,18,41,8
Impa2,0,0,0,0
Impact,874,439,1036,653
Impad1,429,102,189,159
Impdh1,2,0,0,10
Impdh2,9,0,64,890
Impg1,0,0,0,0
Impg2,4,2,0,0
Ina,835,255,387,666
Inadl,14,0,1,32
Inca1,0,0,0,0
Incenp,0,0,2,0
Inf2,0,673,111,0
Ing1,8,31,3,84
Ing2,0,0,0,4
Ing3,0,26,0,0
Ing4,702,37,38,8
Ing5,0,14,21,0
Inha,6,357,198,377
Inhba,711,505,77,1186
Inhbb,0,0,1,0
Inhbc,0,0,0,0
Inhbe,0,0,2,0
Inip,138,0,53,4
Inmt,0,0,0,0
Ino80,45,28,8,31
Ino80b,2,30,49,3
Ino80c,0,0,14,2
Ino80d,362,260,105,133
Ino80e,0,2,0,80
Inpp1,21,35,0,12
Inpp4a,1416,790,349,3038
Inpp4b,0,0,0,6
Inpp5a,412,0,41,2
Inpp5b,52,0,49,70
Inpp5d,0,0,1,0
Inpp5e,497,20,0,0
Inpp5f,39,377,13,15
Inpp5j,485,61,69,0
Inpp5k,57,5,209,105
Inppl1,0,0,0,0
Ins1,0,0,0,0
Ins2,0,0,0,0
Insc,18,0,0,0
Insig1,127,1,115,297
Insig2,1144,53,59,16
Insl3,0,0,0,0
Insl5,0,0,0,0
Insl6,0,0,0,0
Insm1,7,3,10,9
Insm2,0,0,0,0
Insr,9,12,300,19
Insrr,0,0,0,0
Ints1,155,294,120,7
Ints10,138,81,43,50
Ints12,65,0,1,0
Ints2,33,1,0,5
Ints3,28,33,64,0
Ints4,0,0,216,6
Ints5,0,0,1,194
Ints6,120,3,1,0
Ints7,174,0,43,0
Ints8,62,71,129,9
Ints9,125,411,90,0
Intu,130,207,33,2
Invs,0,3,0,1
Ip6k1,1081,500,157,605
